,Name,Text,Date,Likes
39,Krishi Jagran,"<a href=""/hashtag/Pics?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>Pics</b></a> of celebration from <a href=""/hashtag/Pune?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>Pune</b></a> on the birth anniversary of <a href=""/hashtag/ChhatrapatiShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b><strong>ChhatrapatiShivajiMaharaj</strong></b></a>
<a href=""/hashtag/Maharashtra?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>Maharashtra</b></a> 
<a href=""/Dev_Fadnavis"" class=""twitter-atreply pretty-link js-nav"" dir=""ltr"" data-mentioned-user-id=""137780376""><s>@</s><b>Dev_Fadnavis</b></a><a href=""https://t.co/DY0624ZtQB"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/DY0624ZtQB</a>",16h,
40,NDTV,"People celebrate the birth anniversary of <a href=""/hashtag/ChhatrapatiShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b><strong>ChhatrapatiShivajiMaharaj</strong></b></a> in Pune, Maharashtra

(<img class=""Emoji Emoji--forText"" src=""https://abs.twimg.com/emoji/v2/72x72/1f4f8.png"" draggable=""false"" alt=""📸"" title=""Camera with flash"" aria-label=""Emoji: Camera with flash""> credits: ANI) <a href=""https://t.co/StqRBB7AMx"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/StqRBB7AMx</a>",16h,1
41,Urban Daily By G. Shantii,"Chhatrapati Shivaji Maharaj, the epitome of courage &amp; bravery is pride of India. 

<a href=""/hashtag/ShivajiJayanti?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>ShivajiJayanti</b></a> <a href=""/hashtag/ShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>ShivajiMaharaj</b></a> <a href=""/hashtag/ChhatrapatiShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b><strong>ChhatrapatiShivajiMaharaj</strong></b></a> <a href=""/hashtag/ShivajiJayanti2019?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>ShivajiJayanti2019</b></a> <a href=""/hashtag/UrbanDailyByGShantii?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>UrbanDailyByGShantii</b></a><a href=""https://t.co/xrMq3bkdyo"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/xrMq3bkdyo</a>",17h,
42,"Prof Shrinath Rao <span class=""Emoji Emoji--forLinks"" style=""background-image:url('https://abs.twimg.com/emoji/v2/72x72/1f1ee-1f1f3.png')"" title=""Flag of India"" aria-label=""Emoji: Flag of India"">&nbsp;</span><span class=""visuallyhidden"" aria-hidden=""true"">🇮🇳</span>","<a href=""/hashtag/BJPShivSenaUnited?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>BJPShivSenaUnited</b></a> is Gift to the People of <a href=""/hashtag/Maharashtra?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>Maharashtra</b></a> on the occasion of 389th <a href=""/hashtag/ShivajiJayanti?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>ShivajiJayanti</b></a>. The Dream of <a href=""/hashtag/BalaSahebThackeray?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>BalaSahebThackeray</b></a> ji to become reality once again with the blessings of <a href=""/hashtag/ChhatrapatiShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b><strong>ChhatrapatiShivajiMaharaj</strong></b></a> <a href=""/hashtag/ShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>ShivajiMaharaj</b></a> <a href=""/hashtag/ShivSena?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>ShivSena</b></a> <a href=""/hashtag/BJP?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>BJP</b></a> <a href=""/hashtag/BJPShivSena?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>BJPShivSena</b></a> <a href=""/ShivSena"" class=""twitter-atreply pretty-link js-nav"" dir=""ltr"" data-mentioned-user-id=""262488658""><s>@</s><b>ShivSena</b></a> <a href=""/hashtag/ModiFor2019?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>ModiFor2019</b></a><a href=""https://t.co/XBR1y8xdF6"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/XBR1y8xdF6</a>",17h,1
43,"<span class=""Emoji Emoji--forLinks"" style=""background-image:url('https://abs.twimg.com/emoji/v2/72x72/1f1f3.png')"" title=""Regional indicator symbol letter n"" aria-label=""Emoji: Regional indicator symbol letter n"">&nbsp;</span><span class=""visuallyhidden"" aria-hidden=""true"">🇳</span>ᴀᴛɪᴏɴᴀʟɪs 🅣","God of every <a href=""/hashtag/Maharashtrian?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>Maharashtrian</b></a> ,The Great <a href=""/hashtag/Maratha?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>Maratha</b></a> , God in the form of Human  <a href=""/hashtag/ChhatrapatiShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b><strong>ChhatrapatiShivajiMaharaj</strong></b></a> <a href=""https://t.co/uRuSOPQQaM"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/uRuSOPQQaM</a>",20h,
44,heena sharma,"Prime Minister <a href=""/hashtag/NarendraModi?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>NarendraModi</b></a> on Tuesday paid tributes to <a href=""/hashtag/ChhatrapatiShivaji?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>ChhatrapatiShivaji</b></a>  on his birth anniversary describing him as a ""warrior for truth and justice"".

<a href=""/hashtag/ShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>ShivajiMaharaj</b></a> <a href=""/hashtag/ShivajiJayanti?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>ShivajiJayanti</b></a> <a href=""/hashtag/shivajimaharajjayanti?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>shivajimaharajjayanti</b></a> <a href=""/hashtag/ChhatrapatiShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b><strong>ChhatrapatiShivajiMaharaj</strong></b></a> 

<a href=""https://t.co/jHGPsshzF0"" rel=""nofollow noopener"" dir=""ltr"" data-expanded-url=""https://www.business-standard.com/article/news-ians/modi-remembers-chhatrapati-shivaji-on-birth-anniversary-119021900147_1.html?utm_source=SEO&amp;utm_medium=PB"" class=""twitter-timeline-link"" target=""_blank"" title=""https://www.business-standard.com/article/news-ians/modi-remembers-chhatrapati-shivaji-on-birth-anniversary-119021900147_1.html?utm_source=SEO&amp;utm_medium=PB""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">business-standard.com/article/news-i</span><span class=""invisible"">ans/modi-remembers-chhatrapati-shivaji-on-birth-anniversary-119021900147_1.html?utm_source=SEO&amp;utm_medium=PB</span><span class=""tco-ellipsis""><span class=""invisible"">&nbsp;</span>…</span></a><a href=""https://t.co/DFiHAfyiwU"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/DFiHAfyiwU</a>",21h,1
45,Dr. Pradeep Gadge,"I’ve held Chhatrapati Shivaji Maharaj in highest regards right since my childhood. I’ve always found him to be an epitome of great leadership &amp; unmatched patriotism. To me personally, he has been the GOD of our country. (1/5)

<a href=""/hashtag/ChhatrapatiShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b><strong>ChhatrapatiShivajiMaharaj</strong></b></a> <a href=""/hashtag/ShivJayanti?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>ShivJayanti</b></a><a href=""https://t.co/iARtqhWv8E"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/iARtqhWv8E</a>",22h,1
46,"Muley Sushilkumar S.<span class=""Emoji Emoji--forLinks"" style=""background-image:url('https://abs.twimg.com/emoji/v2/72x72/1f1ee-1f1f3.png')"" title=""Flag of India"" aria-label=""Emoji: Flag of India"">&nbsp;</span><span class=""visuallyhidden"" aria-hidden=""true"">🇮🇳</span>","Feeling proud that, we belongs to a country where once <a href=""/hashtag/ShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>ShivajiMaharaj</b></a> had ruled.
<a href=""/hashtag/ShivJayanti?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>ShivJayanti</b></a>
<a href=""/hashtag/ChhatrapatiShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b><strong>ChhatrapatiShivajiMaharaj</strong></b></a> <a href=""https://t.co/TLDQ6fHqMp"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/TLDQ6fHqMp</a>",22h,
47,Girish Johar,"Today is Birth Anniversary of Great Brave Warrior King <a href=""/hashtag/ChhatrapatiShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b><strong>ChhatrapatiShivajiMaharaj</strong></b></a>  <a href=""/hashtag/ShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>ShivajiMaharaj</b></a> 
<a href=""/hashtag/ShivajiJayanti?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>ShivajiJayanti</b></a> 
<img class=""Emoji Emoji--forText"" src=""https://abs.twimg.com/emoji/v2/72x72/1f31f.png"" draggable=""false"" alt=""🌟"" title=""Glowing star"" aria-label=""Emoji: Glowing star""><img class=""Emoji Emoji--forText"" src=""https://abs.twimg.com/emoji/v2/72x72/1f4a5.png"" draggable=""false"" alt=""💥"" title=""Collision symbol"" aria-label=""Emoji: Collision symbol""><img class=""Emoji Emoji--forText"" src=""https://abs.twimg.com/emoji/v2/72x72/1f64f-1f3fb.png"" draggable=""false"" alt=""🙏🏻"" title=""Person with folded hands (light skin tone)"" aria-label=""Emoji: Person with folded hands (light skin tone)""><img class=""Emoji Emoji--forText"" src=""https://abs.twimg.com/emoji/v2/72x72/1f490.png"" draggable=""false"" alt=""💐"" title=""Bouquet"" aria-label=""Emoji: Bouquet""><img class=""Emoji Emoji--forText"" src=""https://abs.twimg.com/emoji/v2/72x72/1f4aa-1f3fb.png"" draggable=""false"" alt=""💪🏻"" title=""Flexed biceps (light skin tone)"" aria-label=""Emoji: Flexed biceps (light skin tone)""><img class=""Emoji Emoji--forText"" src=""https://abs.twimg.com/emoji/v2/72x72/1f495.png"" draggable=""false"" alt=""💕"" title=""Two hearts"" aria-label=""Emoji: Two hearts""><img class=""Emoji Emoji--forText"" src=""https://abs.twimg.com/emoji/v2/72x72/1f64f-1f3fb.png"" draggable=""false"" alt=""🙏🏻"" title=""Person with folded hands (light skin tone)"" aria-label=""Emoji: Person with folded hands (light skin tone)""><a href=""https://t.co/VZXs8vdnUH"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/VZXs8vdnUH</a>",22h,2
48,સંદિપ,"I want <a href=""/ssrajamouli"" class=""twitter-atreply pretty-link js-nav"" dir=""ltr"" data-mentioned-user-id=""136479128""><s>@</s><b>ssrajamouli</b></a> to make a movie on <a href=""/hashtag/ChhatrapatiShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b><strong>ChhatrapatiShivajiMaharaj</strong></b></a> with <a href=""/hashtag/prabhas?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>prabhas</b></a> as lead. it will be mindblowing movie.<a href=""/Shobu_"" class=""twitter-atreply pretty-link js-nav"" dir=""ltr"" data-mentioned-user-id=""15914609""><s>@</s><b>Shobu_</b></a> <a href=""/arkamediaworks"" class=""twitter-atreply pretty-link js-nav"" dir=""ltr"" data-mentioned-user-id=""347062156""><s>@</s><b>arkamediaworks</b></a> 
<a href=""/hashtag/saaho?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>saaho</b></a>
<a href=""/hashtag/ShivajiJayanti?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>ShivajiJayanti</b></a>",22h,5
49,Pankaj Pandey,"<a href=""/hashtag/ShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>ShivajiMaharaj</b></a>
<a href=""/hashtag/ShivajiJayanti?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>ShivajiJayanti</b></a> 
Our motherland requires proud countrymen,who will be like <a href=""/hashtag/ChhatrapatiShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b><strong>ChhatrapatiShivajiMaharaj</strong></b></a>-the one who is spiritual,fearless,bold,patriotic and so on.
""Dharmo rakshati rakshitaha""-those who holds dharma will protected by dharma.
Jai Bhavani Jai Shivaji <a href=""https://t.co/V7UhpYJCBH"" class=""twitter-timeline-link"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/V7UhpYJCBH</a>",22h,
50,Kenguva Ramunaidu,"Remembering  Chhatrapati Shivaji on his 392nd Birth Anniversary 
<a href=""/hashtag/ChhatrapatiShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b><strong>ChhatrapatiShivajiMaharaj</strong></b></a> <a href=""https://t.co/Uw2r3hZuwW"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/Uw2r3hZuwW</a>",23h,
51,Abhishek Sharma,"My tribute to the great patriot, true visionary &amp; brave warrior <a href=""/hashtag/ChhatrapatiShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b><strong>ChhatrapatiShivajiMaharaj</strong></b></a> on his birth anniversary. 
<a href=""/hashtag/ShivajiJayanti?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>ShivajiJayanti</b></a><a href=""https://t.co/EUdt6F8skE"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/EUdt6F8skE</a>",24h,
52,Mrs LaxmanRanawatSolanki,"Tribute on the birth anniversary of the grat Maratha king <a href=""/hashtag/ChhatrapatiShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b><strong>ChhatrapatiShivajiMaharaj</strong></b></a> who is the greatest warriors in the history of India <img class=""Emoji Emoji--forText"" src=""https://abs.twimg.com/emoji/v2/72x72/1f490.png"" draggable=""false"" alt=""💐"" title=""Bouquet"" aria-label=""Emoji: Bouquet""><img class=""Emoji Emoji--forText"" src=""https://abs.twimg.com/emoji/v2/72x72/1f64f.png"" draggable=""false"" alt=""🙏"" title=""Person with folded hands"" aria-label=""Emoji: Person with folded hands"">
<a href=""/hashtag/ShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>ShivajiMaharaj</b></a><a href=""https://t.co/iIlOk6vizv"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/iIlOk6vizv</a>",24h,1
53,Ydpk30@gmail.com,"Yes Sir, Today is 389th Birth Anniversary of Great Brave Warrior King <a href=""/hashtag/ChhatrapatiShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b><strong>ChhatrapatiShivajiMaharaj</strong></b></a> <a href=""/hashtag/shivjayanti?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>shivjayanti</b></a> <a href=""/hashtag/ShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>ShivajiMaharaj</b></a> ! Father of Gurella warfare(GanimiKava), Father of Indian Navy and greatest brave fighter warrior King of Hindavi Swarajya ! <a href=""/hashtag/ShivajiJayanti?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>ShivajiJayanti</b></a><a href=""https://t.co/qby8DBTqO1"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/qby8DBTqO1</a>",Feb 18,1
54,All India Radio News,"PM Modi pays tributes to <a href=""/hashtag/ChhatrapatiShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b><strong>ChhatrapatiShivajiMaharaj</strong></b></a> on his Birth Anniversary. <a href=""https://t.co/28PnxtuxNN"" rel=""nofollow noopener"" dir=""ltr"" data-expanded-url=""https://twitter.com/narendramodi/status/1097668113166938113"" class=""twitter-timeline-link u-hidden"" target=""_blank"" title=""https://twitter.com/narendramodi/status/1097668113166938113""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/narendramodi/s</span><span class=""invisible"">tatus/1097668113166938113</span><span class=""tco-ellipsis""><span class=""invisible"">&nbsp;</span>…</span></a>",Feb 18,
55,Insta Greetings,"Create Shivjayanti e-Greetings
Share customised Shivjayanti e-Greetings only with Insta Greetings
<a href=""/hashtag/Shivjayanti?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>Shivjayanti</b></a> <a href=""/hashtag/Chatrapati?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>Chatrapati</b></a>  <a href=""/hashtag/ShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>ShivajiMaharaj</b></a> <a href=""/hashtag/ChhatrapatiShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b><strong>ChhatrapatiShivajiMaharaj</strong></b></a> <a href=""https://t.co/RVFf3f2D4z"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/RVFf3f2D4z</a>",Feb 17,1
56,Adenhanseo Online Solutions LLP.,"We bow to ""CHHATRAPATI SHIVAJI MAHARAJ"" on this occasion of his Jayanti. A warrior for Truth &amp; Justice, who lifted up the life's of millions. ""Personality that never fades, it just lives forever in everyone's heart""|| जय भवानी, जय शिवाजी || <a href=""/hashtag/chhatrapatishivajimaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b><strong>chhatrapatishivajimaharaj</strong></b></a> <a href=""/hashtag/shivjayanti?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>shivjayanti</b></a><a href=""https://t.co/3alPgVn61p"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/3alPgVn61p</a>",16h,
57,Armofs,"Chhatrapati Shivaji Maharaj, the epitome of courage &amp; bravery, is pride of India. <img class=""Emoji Emoji--forText"" src=""https://abs.twimg.com/emoji/v2/72x72/1f6a9.png"" draggable=""false"" alt=""🚩"" title=""Triangular flag on post"" aria-label=""Emoji: Triangular flag on post"">

<a href=""/hashtag/ShivajiJayanti?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>ShivajiJayanti</b></a> <a href=""/hashtag/ShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>ShivajiMaharaj</b></a> <a href=""/hashtag/ChhatrapatiShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b><strong>ChhatrapatiShivajiMaharaj</strong></b></a> <a href=""/hashtag/ShivajiJayanti2019?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>ShivajiJayanti2019</b></a><a href=""https://t.co/tLVVS7WTDr"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/tLVVS7WTDr</a>",17h,
58,Subhash Gupta,"<a href=""/hashtag/ShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>ShivajiMaharaj</b></a>: Remembering With Honour Epitome Warrior, Great Nationalist, Hindu Organiser  <a href=""/hashtag/ChhatrapatiShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b><strong>ChhatrapatiShivajiMaharaj</strong></b></a> On His Jayanti. He Always Fighted Moghul Emperor For Indian Freedom. Now's The Time To Take Lesson From His Ruling Policy. Shat-2 Naman. Humble Tribute To Him. <a href=""https://t.co/yz8YfDGPBr"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/yz8YfDGPBr</a>",17h,1
59,Bharat Power Project,"Tribute to <a href=""/hashtag/ChhatrapatiShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b><strong>ChhatrapatiShivajiMaharaj</strong></b></a> on his Birth Anniversary

<a href=""/BharatPowerPro"" class=""twitter-atreply pretty-link js-nav"" dir=""ltr"" data-mentioned-user-id=""1082577301135597568""><s>@</s><b>BharatPowerPro</b></a> 
<a href=""/hashtag/Contact?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>Contact</b></a> :- 96948 70409, 76898 56693
Visit Us :- <a href=""https://t.co/cbnqKj4YHp"" rel=""nofollow noopener"" dir=""ltr"" data-expanded-url=""http://www.bharatpowerproject.in/"" class=""twitter-timeline-link"" target=""_blank"" title=""http://www.bharatpowerproject.in/""><span class=""tco-ellipsis""></span><span class=""invisible"">http://www.</span><span class=""js-display-url"">bharatpowerproject.in</span><span class=""invisible"">/</span><span class=""tco-ellipsis""><span class=""invisible"">&nbsp;</span></span></a>
Address :- E-96/C, New Riico Industrial Area Bharatpur, India<a href=""https://t.co/YvnvWVFzqO"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/YvnvWVFzqO</a>",17h,
60,VijayashanthiOfficial,"The nation remembers the greatest Indian warrior and administrator <a href=""/hashtag/ShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>ShivajiMaharaj</b></a> on his birth anniversary today.  

<a href=""/hashtag/ShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>ShivajiMaharaj</b></a> <a href=""/hashtag/shivajijayanti?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>shivajijayanti</b></a> <a href=""/hashtag/ChhatrapatiShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b><strong>ChhatrapatiShivajiMaharaj</strong></b></a> <a href=""/hashtag/ShivajiBhonsle?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>ShivajiBhonsle</b></a><a href=""https://t.co/QjuICxR2C4"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/QjuICxR2C4</a>",17h,
61,ZuloConsultants,"Remembering <a href=""/hashtag/ChhatrapatiShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b><strong>ChhatrapatiShivajiMaharaj</strong></b></a>, The Founder Of <a href=""/hashtag/MarathaKingdom?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>MarathaKingdom</b></a>- On His Birth Anniversary.
<a href=""/hashtag/ShivajiJayanti?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>ShivajiJayanti</b></a><a href=""https://t.co/8VH8nny3lj"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/8VH8nny3lj</a>",18h,
